date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:51	18000/18000	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2013:45:50%20GMT	https://presqt.crc.nd.edu/index.php/workshops/workshop-two/program	./presqt/presqt.crc.nd.edu/index.php/workshops/workshop-two/program.html	(from https://presqt.crc.nd.edu/)
08:45:52	11181/11181	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2013:45:51%20GMT	https://presqt.crc.nd.edu/index.php/workshops/workshop-two/remote-attendance	./presqt/presqt.crc.nd.edu/index.php/workshops/workshop-two/remote-attendance.html	(from https://presqt.crc.nd.edu/)
08:45:53	25703/25703	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2013:45:52%20GMT	https://presqt.crc.nd.edu/index.php/workshops/workshop-one	./presqt/presqt.crc.nd.edu/index.php/workshops/workshop-one.html	(from https://presqt.crc.nd.edu/)
08:45:54	36632/36632	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2013:45:53%20GMT	https://presqt.crc.nd.edu/index.php/workshops/workshop-one/speakers	./presqt/presqt.crc.nd.edu/index.php/workshops/workshop-one/speakers.html	(from https://presqt.crc.nd.edu/)
08:45:54	3657/3657	---M--	200	added ('OK')	image/png	etag:%22e49-543a465abaac0%22	https://presqt.crc.nd.edu/images/leave-site-icon.png	./presqt/presqt.crc.nd.edu/images/leave-site-icon.png	(from https://presqt.crc.nd.edu/)
08:45:55	44598/44598	---M--	200	added ('OK')	image/jpeg	etag:%22ae36-56a3564db3786%22	https://presqt.crc.nd.edu/images/imls_logo_2c.jpg	./presqt/presqt.crc.nd.edu/images/imls_logo_2c.jpg	(from https://presqt.crc.nd.edu/)
08:45:56	103057/103057	---M--	200	added ('OK')	image/jpeg	etag:%2219291-56a35301b8e90%22	https://presqt.crc.nd.edu/images/preservation_graphic_overview_2018.jpg	./presqt/presqt.crc.nd.edu/images/preservation_graphic_overview_2018.jpg	(from https://presqt.crc.nd.edu/)
08:45:57	7496/7496	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2013:45:57%20GMT	https://presqt.crc.nd.edu/index.php/people	./presqt/presqt.crc.nd.edu/index.php/people	(from https://presqt.crc.nd.edu/)
08:45:59	11551/11551	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2013:45:58%20GMT	https://presqt.crc.nd.edu/index.php?option=com_content&view=article&id=32&catid=2	./presqt/presqt.crc.nd.edu/indexde4c.html	(from https://presqt.crc.nd.edu/)
08:46:00	14318/14318	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20May%202024%2013:45:59%20GMT	https://presqt.crc.nd.edu/index.php/presqt-notices	./presqt/presqt.crc.nd.edu/index.php/presqt-notices.html	(from https://presqt.crc.nd.edu/)
08:46:00	25208/25208	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226278-5fffc2ae44e00%22	https://presqt.crc.nd.edu/media/jui/fonts/IcoMoon.eot	./presqt/presqt.crc.nd.edu/media/jui/fonts/IcoMoon.eot	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:01	25208/25208	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226278-5fffc2ae44e00%22	https://presqt.crc.nd.edu/media/jui/fonts/IcoMoon.eot?	./presqt/presqt.crc.nd.edu/media/jui/fonts/IcoMoond41d.eot	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:02	25424/25424	---M--	200	added ('OK')	application/font-woff	etag:%226350-5fffc2ae44e00%22	https://presqt.crc.nd.edu/media/jui/fonts/IcoMoon.woff	./presqt/presqt.crc.nd.edu/media/jui/fonts/IcoMoon.woff	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:03	25044/25044	---M--	200	added ('OK')	application/font-sfnt	etag:%2261d4-5fffc2ae44e00%22	https://presqt.crc.nd.edu/media/jui/fonts/IcoMoon.ttf	./presqt/presqt.crc.nd.edu/media/jui/fonts/IcoMoon.ttf	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:04	86043/86043	---M--	200	added ('OK')	image/svg+xml	etag:%221501b-5fffc2ae44e00%22	https://presqt.crc.nd.edu/media/jui/fonts/IcoMoon.svg	./presqt/presqt.crc.nd.edu/media/jui/fonts/IcoMoon.svg	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:05	237/237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2013:46:05%20GMT	https://presqt.crc.nd.edu/images/polar-rcn/scambos_antarctica.jpg	./presqt/presqt.crc.nd.edu/images/polar-rcn/scambos_antarctica.jpg	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:06	246/246	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2013:46:06%20GMT	https://presqt.crc.nd.edu/images/mpsod-visual-id/mpsopendata_logo_full.png	./presqt/presqt.crc.nd.edu/images/mpsod-visual-id/mpsopendata_logo_full.png	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
08:46:07	229/229	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2013:46:07%20GMT	https://presqt.crc.nd.edu/images/daspos/daspos_footer.png	./presqt/presqt.crc.nd.edu/images/daspos/daspos_footer.png	(from https://presqt.crc.nd.edu/templates/protostar-presqt/css/template.css?22ac39ac0da77898c365bfbd9e117277)
